@relation twsp

@attribute x numeric
@attribute y numeric
@attribute class {0,1}

@data
-1.4491,0,0
-1.44347,-0.28255,0
-1.38063,-0.56276,0
-1.26136,-0.82938,0
-1.08871,-1.07136,0
-0.86798,-1.27831,0
-0.60654,-1.44096,0
-0.31363,-1.55157,0
0,-1.60425,0
0.322462,-1.59528,0
0.641196,-1.52331,0
0.943453,-1.38946,0
1.216798,-1.1974,0
1.449629,-0.95317,0
1.631658,-0.66508,0
1.754368,-0.3434,0
1.811379,0,0
1.798783,0.352098,0
1.715333,0.699187,0
1.562586,1.027442,0
1.34488,1.323441,0
1.069246,1.574728,0
0.745172,1.770329,0
0.384302,1.901225,0
0,1.960754,0
-0.39314,1.944932,0
-0.77983,1.85267,0
-1.14472,1.685884,0
-1.47296,1.449482,0
-1.75085,1.15123,0
-1.96636,0.80151,0
-2.10968,0.412953,0
-2.17366,0,0
-2.1541,-0.42165,0
-2.05003,-0.83562,0
-1.86381,-1.2255,0
-1.60105,-1.57553,0
-1.27052,-1.87115,0
-0.88381,-2.09969,0
-0.45498,-2.25088,0
0,-2.31725,0
-0.03976,0.196678,1
-0.08665,0.205851,1
-0.13837,0.20379,1
-0.19213,0.189063,1
-0.24474,0.160924,1
-0.29286,0.119374,1
-0.33311,0.065204,1
-0.36228,0,1
-0.37752,-0.0739,1
-0.37654,-0.15348,1
-0.3577,-0.2352,1
-0.32021,-0.3151,1
-0.26417,-0.38905,1
-0.19063,-0.45287,1
-0.1016,-0.50262,1
0,-0.53475,1
0.110433,-0.54633,1
0.225285,-0.53521,1
0.339641,-0.50021,1
0.448295,-0.44115,1
0.545964,-0.35899,1
0.62756,-0.2558,1
0.688422,-0.13475,1
0.724552,0,1
0.732837,0.143445,1
0.711234,0.289906,1
0.658922,0.433259,1
0.576377,0.567189,1
0.465438,0.685469,1
0.329262,0.782237,1
0.172273,0.852272,1
0,0.891252,1
-0.18111,0.895979,1
-0.36392,0.864578,1
-0.54091,0.796626,1
-0.70446,0.69323,1
-0.84719,0.557047,1
-0.96226,0.392226,1
-1.04374,0.204303,1
-1.08683,0,1
-1.08815,-0.21299,1
-1.04593,-0.42634,1
-0.96014,-0.63132,1
-0.83255,-0.81927,1
-0.66671,-0.98189,1
-0.4679,-1.1116,1
-0.24295,-1.20192,1
0,-1.24775,1
0.251785,-1.24563,1
0.50256,-1.19394,1
0.74218,-1.09305,1
0.960629,-0.94531,1
1.148407,-0.75511,1
1.296958,-0.52865,1
1.399051,-0.27385,1
1.449103,0,1
1.443466,0.282548,1
1.380633,0.562761,1
1.261365,0.829381,1
1.088711,1.071356,1
0.867977,1.278308,1
0.606537,1.440965,1
0.313626,1.551573,1
0,1.604253,1
-0.32246,1.59528,1
-0.6412,1.523306,1
-0.94345,1.389465,1
-1.2168,1.1974,1
-1.44963,0.953169,1
-1.63166,0.66508,1
-1.75437,0.343403,1
-1.81138,0,1
-1.79878,-0.3521,1
-1.71533,-0.69919,1
-1.56259,-1.02744,1
-1.34488,-1.32344,1
-1.06925,-1.57473,1
-0.74517,-1.77033,1
-0.3843,-1.90123,1
0,-1.96075,1
0.393138,-1.94493,1
0.779831,-1.85267,1
1.144723,-1.68588,1
1.472963,-1.44948,1
1.75085,-1.15123,1
1.966357,-0.80151,1
2.109681,-0.41295,1
2.173655,0,1
2.154096,0.421648,1
2.050032,0.835616,1
1.863808,1.225503,1
1.601049,1.575526,1
1.270516,1.871147,1
0.883812,2.099693,1
0.454979,2.250877,1
0,2.317254,1
